t,temp,humd
113605,26.4,38.4
113606,26.3,38.4
113607,26.3,38.4
113608,26.3,38.4
113609,26.3,38.4
113610,26.3,38.4
113611,26.3,38.5
113612,26.3,38.5
113613,26.3,38.5
113614,26.3,38.5
113615,26.3,38.6
113616,26.3,38.6
113617,26.3,38.6
113618,26.3,38.6
113620,26.3,38.6
113621,26.3,38.6
113622,26.3,38.7
113623,26.3,38.8
113624,26.3,38.8
113625,26.3,38.8
113626,26.3,38.8
113627,26.3,38.8
113628,26.3,38.8
113629,26.3,38.9
113630,26.3,38.9
113631,26.3,38.9
113632,26.3,38.9
113633,26.3,38.9
113634,26.3,38.9
113635,26.2,38.9
113637,26.3,38.9
113638,26.2,38.9
113639,26.3,38.9
113640,26.3,38.9
113641,26.3,38.9
113642,26.2,38.9
113643,26.3,38.9
113644,26.2,38.9
113645,26.2,38.9
113646,26.2,38.8
113647,26.3,38.9
113648,26.2,38.9
113649,26.2,38.9
113650,26.2,38.9
113651,26.2,38.9
113652,26.2,38.9
113654,26.2,38.9
113655,26.2,38.9
113656,26.2,38.9
113657,26.2,38.9
113658,26.2,38.9
113659,26.2,38.9
113700,26.2,38.9
113701,26.2,38.9
113702,26.2,38.9
113703,26.2,38.9
113704,26.2,38.9
113705,26.2,38.9
113706,26.2,39.0
113707,26.2,39.0
113708,26.2,39.0
113709,26.2,39.0
113711,26.2,39.0
113712,26.2,39.0
113713,26.2,39.0
113714,26.2,39.0
113715,26.2,39.0
113716,26.2,39.0
113717,26.2,39.0
113718,26.2,39.0
113719,26.2,39.0
113720,26.2,39.0
113721,26.2,39.0
113722,26.2,39.0
113723,26.2,39.0
113724,26.2,39.0
113725,26.2,39.0
113726,26.2,39.0
113728,26.2,39.0
113729,26.2,39.0
113730,26.2,39.0
113731,26.2,39.0
113732,26.2,39.0
113733,26.2,39.0
113734,26.2,39.0
113735,26.2,38.9
113736,26.2,38.9
113737,26.2,39.0
113738,26.2,39.0
113739,26.2,39.0
113740,26.2,39.0
113741,26.2,39.0
113742,26.2,39.0
113743,26.2,39.0
113745,26.2,39.0
113746,26.2,39.0
113747,26.2,39.0
113748,26.2,39.0
113749,26.2,39.1
113750,26.2,39.1
113751,26.2,39.1
113752,26.2,39.1
113753,26.2,39.1
113754,26.2,39.1
113755,26.2,39.1
113756,26.2,39.1
113757,26.2,39.1
113758,26.2,39.1
113759,26.2,39.1
113800,26.2,39.1
113802,26.2,39.1
113803,26.2,39.1
113804,26.2,39.1
113805,26.2,39.1
113806,26.2,39.1
113807,26.2,39.1
113808,26.2,39.1
113809,26.2,39.1
113810,26.2,39.2
113811,26.2,39.2
113812,26.2,39.2
113813,26.2,39.2
113814,26.2,39.2
113815,26.2,39.2
113816,26.2,39.2
113817,26.2,39.1
113819,26.1,39.1
113820,26.1,39.1
113821,26.2,39.2
113822,26.2,39.2
113823,26.1,39.1
113824,26.1,39.1
113825,26.1,39.1
113826,26.1,39.1
113827,26.2,39.1
113828,26.1,39.2
113829,26.1,39.2
113830,26.1,39.1
113831,26.1,39.1
113832,26.1,39.1
113833,26.1,39.1
113835,26.1,39.1
113836,26.1,39.1
113837,26.1,39.1
113838,26.1,39.1
113839,26.1,39.1
113840,26.1,39.1
113841,26.1,39.1
113842,26.1,39.1
113843,26.1,39.2
113844,26.1,39.2
113845,26.1,39.2
113846,26.1,39.2
113847,26.1,39.2
113848,26.1,39.2
113849,26.1,39.2
113850,26.1,39.2
113852,26.1,39.2
113853,26.1,39.2
113854,26.1,39.2
113855,26.1,39.2
113856,26.1,39.2
113857,26.1,39.2
113858,26.1,39.2
113859,26.1,39.2
113900,26.1,39.2
113901,26.1,39.3
113902,26.1,39.3
113903,26.1,39.3
113904,26.1,39.4
113905,26.1,39.4
113906,26.1,39.4
113907,26.1,39.3
113909,26.1,39.3
113910,26.1,39.2
113911,26.1,39.2
113912,26.1,39.2
113913,26.1,39.2
113914,26.1,39.2
113915,26.1,39.2
113916,26.1,39.3
113917,26.1,39.3
113918,26.1,39.3
113919,26.1,39.3
113920,26.1,39.3
113921,26.1,39.3
113922,26.1,39.3
113923,26.1,39.3
113924,26.1,39.2
113926,26.1,39.2
113927,26.1,39.2
113928,26.1,39.2
113929,26.1,39.3
113930,26.1,39.3
113931,26.1,39.3
113932,26.1,39.3
113933,26.1,39.3
113934,26.1,39.3
113935,26.1,39.3
113936,26.1,39.3
113937,26.1,39.3
113938,26.1,39.3
113939,26.1,39.3
113940,26.1,39.3
113941,26.1,39.4
113943,26.1,39.4
113944,26.1,39.4
113945,26.1,39.4
113946,26.1,39.4
113947,26.0,39.4
113948,26.1,39.4
113949,26.0,39.4
113950,26.1,39.4
113951,26.1,39.3
113952,26.1,39.3
113953,26.1,39.4
113954,26.1,39.4
113955,26.1,39.4
113956,26.1,39.4
113957,26.0,39.4
113958,26.1,39.4
114000,26.0,39.4
114001,26.1,39.4
114002,26.1,39.4
114003,26.0,39.4
114004,26.0,39.4
114005,26.0,39.4
114006,26.0,39.4
114007,26.1,39.4
114008,26.0,39.4
114009,26.0,39.4
114010,26.0,39.4
